# Logfile created on 2026-09-09 20:59:20 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:20 +0200: Memory Usage (457060K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/reference_AION_a21oi_nor2_1.gds
2026-09-09 20:59:20 +0200: Memory Usage (457060K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : Loading database to memory is complete.
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/drc/reference_AION_a21oi_nor2_1.klayout.drc/reference_AION_a21oi_nor2_1_reference_AION_a21oi_nor2_1_copperpillar.lyrdb
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : Evaluate switches.
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : tables selected: copperpillar
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : deep mode is enabled.
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : FEOL enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : BEOL enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : OFFGRID enabled: true
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : ANGLE enabled: true
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : PIN enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : FORBIDDEN enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : RECOMMENDED enabled: true
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : PreCheck DRC enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:20 +0200: Memory Usage (458388K) : Read in polygons from layers.
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_drw has 6 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_iopc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : activ_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : biwind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : biwind_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459156K) : pemwind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_drw has 5 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_iopc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459348K) : cont_drw has 49 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459508K) : cont_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459508K) : nsd_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459508K) : nsd_block has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459700K) : metal1_drw has 16 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459700K) : metal1_pin has 7 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459700K) : metal1_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459860K) : metal1_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459860K) : metal1_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460020K) : metal1_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460404K) : metal1_text has 7 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460404K) : metal1_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460564K) : metal1_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460564K) : metal1_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460564K) : metal1_iprobe has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460724K) : metal1_diffprb has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460724K) : passiv_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460724K) : passiv_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460884K) : passiv_sbump has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460884K) : passiv_pillar has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460884K) : passiv_pdl has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460884K) : metal2_drw has 2 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461044K) : metal2_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461204K) : metal2_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461204K) : metal2_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461204K) : metal2_iprobe has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461204K) : metal2_diffprb has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461204K) : baspoly_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461204K) : baspoly_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461364K) : psd_drw has 2 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461364K) : nldb_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461364K) : digibnd_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461524K) : via1_drw has 2 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461524K) : backmetal1_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461524K) : backmetal1_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461684K) : backmetal1_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461684K) : backmetal1_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461684K) : backmetal1_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461844K) : backmetal1_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461844K) : backmetal1_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (461844K) : backmetal1_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462004K) : backmetal1_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462004K) : backmetal1_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462164K) : backmetal1_iprobe has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462324K) : backmetal1_diffprb has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462324K) : backpassiv_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462324K) : res_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462484K) : sram_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462484K) : trans_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462484K) : ind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462644K) : ind_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462644K) : ind_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462644K) : salblock_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462804K) : via2_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462804K) : metal3_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462804K) : metal3_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462964K) : metal3_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462964K) : metal3_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (462964K) : metal3_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463124K) : metal3_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463124K) : metal3_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463284K) : metal3_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463284K) : metal3_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463284K) : metal3_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463444K) : metal3_iprobe has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463444K) : metal3_diffprb has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463444K) : nwell_drw has 1 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463444K) : nwell_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463604K) : nbulay_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463604K) : nbulay_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463604K) : nbulay_block has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463604K) : emwind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463764K) : emwind_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463764K) : deepco_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463764K) : deepco_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463764K) : mim_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463924K) : edgeseal_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463924K) : edgeseal_bound has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463924K) : substrate_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463924K) : substrate_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (463924K) : dfpad_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464084K) : dfpad_pillar has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464084K) : dfpad_sbump has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464084K) : thickgateox_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464244K) : pldb_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464244K) : pwell_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464244K) : pwell_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464404K) : pwell_block has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464404K) : ic_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464404K) : via3_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464564K) : metal4_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464564K) : metal4_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464564K) : metal4_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464724K) : metal4_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464724K) : metal4_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464724K) : metal4_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464884K) : metal4_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464884K) : metal4_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (464884K) : metal4_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465044K) : metal4_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465044K) : metal4_iprobe has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465044K) : metal4_diffprb has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465204K) : heattrans_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465204K) : heatres_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465364K) : pempoly_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465364K) : fbe_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465364K) : empoly_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465524K) : ldmos_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465524K) : pbiwind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465524K) : digisub_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465524K) : nodrc_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465524K) : text_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465684K) : via4_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465684K) : metal5_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465684K) : metal5_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465844K) : metal5_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465844K) : metal5_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (465844K) : metal5_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (466004K) : metal5_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (466004K) : metal5_text has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (466004K) : metal5_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (466164K) : metal5_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (466164K) : metal5_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (466164K) : metal5_iprobe has 0 polygons
