# Logfile created on 2026-09-09 20:59:17 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:17 +0200: Memory Usage (455084K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/reference_AION_a21oi_nor2_1.gds
2026-09-09 20:59:17 +0200: Memory Usage (455084K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : Loading database to memory is complete.
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/drc/reference_AION_a21oi_nor2_1.klayout.drc/reference_AION_a21oi_nor2_1_reference_AION_a21oi_nor2_1_metal1.lyrdb
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : Evaluate switches.
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : tables selected: metal1
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : deep mode is enabled.
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : FEOL enabled: false
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : BEOL enabled: false
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : OFFGRID enabled: true
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : ANGLE enabled: true
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : PIN enabled: false
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : FORBIDDEN enabled: false
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : RECOMMENDED enabled: true
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : PreCheck DRC enabled: false
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:17 +0200: Memory Usage (456048K) : Read in polygons from layers.
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_drw has 6 polygons
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_pin has 0 polygons
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_mask has 0 polygons
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_filler has 0 polygons
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_nofill has 0 polygons
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_opc has 0 polygons
2026-09-09 20:59:17 +0200: Memory Usage (457220K) : activ_iopc has 0 polygons
