# Logfile created on 2026-09-09 20:59:16 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:16 +0200: Memory Usage (457540K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/reference_AION_a21oi_nor2_1.gds
2026-09-09 20:59:16 +0200: Memory Usage (457540K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:16 +0200: Memory Usage (458528K) : Loading database to memory is complete.
2026-09-09 20:59:16 +0200: Memory Usage (458528K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/drc/reference_AION_a21oi_nor2_1.klayout.drc/reference_AION_a21oi_nor2_1_reference_AION_a21oi_nor2_1_nwell.lyrdb
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : Evaluate switches.
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : tables selected: nwell
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : deep mode is enabled.
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : FEOL enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : BEOL enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : OFFGRID enabled: true
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : ANGLE enabled: true
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : PIN enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : FORBIDDEN enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : RECOMMENDED enabled: true
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : PreCheck DRC enabled: false
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : CONNECTIVITY_RULES enabled: true.
2026-09-09 20:59:16 +0200: Memory Usage (458720K) : Read in polygons from layers.
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_drw has 6 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_pin has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_mask has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_filler has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_nofill has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_iopc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : activ_noqrc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : biwind_drw has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : biwind_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459488K) : pemwind_drw has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_drw has 5 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_nofill has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_iopc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459680K) : cont_drw has 49 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459840K) : cont_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459840K) : nsd_drw has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (459840K) : nsd_block has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460032K) : metal1_drw has 16 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460032K) : metal1_pin has 7 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460032K) : metal1_mask has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460192K) : metal1_filler has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460192K) : metal1_nofill has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460352K) : metal1_slit has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460544K) : metal1_text has 7 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460544K) : metal1_opc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460704K) : metal1_noqrc has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460704K) : metal1_res has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460704K) : metal1_iprobe has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460864K) : metal1_diffprb has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460864K) : passiv_drw has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (460864K) : passiv_pin has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (461024K) : passiv_sbump has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (461024K) : passiv_pillar has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (461024K) : passiv_pdl has 0 polygons
2026-09-09 20:59:16 +0200: Memory Usage (461024K) : metal2_drw has 2 polygons
2026-09-09 20:59:16 +0200: Memory Usage (461184K) : metal2_pin has 0 polygons
