# Logfile created on 2026-09-09 20:59:20 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:20 +0200: Memory Usage (457080K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/reference_AION_a21oi_nor2_1.gds
2026-09-09 20:59:20 +0200: Memory Usage (457080K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : Loading database to memory is complete.
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/drc/reference_AION_a21oi_nor2_1.klayout.drc/reference_AION_a21oi_nor2_1_reference_AION_a21oi_nor2_1_sealring.lyrdb
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : Evaluate switches.
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : tables selected: sealring
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : deep mode is enabled.
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : FEOL enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : BEOL enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : OFFGRID enabled: true
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : ANGLE enabled: true
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : PIN enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : FORBIDDEN enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : RECOMMENDED enabled: true
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : PreCheck DRC enabled: false
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:20 +0200: Memory Usage (458068K) : Read in polygons from layers.
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_drw has 6 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_iopc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : activ_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : biwind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : biwind_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459028K) : pemwind_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_drw has 5 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_iopc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459220K) : cont_drw has 49 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459380K) : cont_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459380K) : nsd_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459380K) : nsd_block has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459764K) : metal1_drw has 16 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459764K) : metal1_pin has 7 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459764K) : metal1_mask has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459924K) : metal1_filler has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459924K) : metal1_nofill has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (459924K) : metal1_slit has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460276K) : metal1_text has 7 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460276K) : metal1_opc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460276K) : metal1_noqrc has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460436K) : metal1_res has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460436K) : metal1_iprobe has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460436K) : metal1_diffprb has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460596K) : passiv_drw has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460596K) : passiv_pin has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460596K) : passiv_sbump has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460756K) : passiv_pillar has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460756K) : passiv_pdl has 0 polygons
2026-09-09 20:59:20 +0200: Memory Usage (460756K) : metal2_drw has 2 polygons
