# Logfile created on 2026-09-09 20:59:19 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:19 +0200: Memory Usage (456768K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/reference_AION_a21oi_nor2_1.gds
2026-09-09 20:59:19 +0200: Memory Usage (456768K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : Loading database to memory is complete.
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/baseline/drc/reference_AION_a21oi_nor2_1.klayout.drc/reference_AION_a21oi_nor2_1_reference_AION_a21oi_nor2_1_via1.lyrdb
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : Evaluate switches.
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : tables selected: via1
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : deep mode is enabled.
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : FEOL enabled: false
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : BEOL enabled: false
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : OFFGRID enabled: true
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : ANGLE enabled: true
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : PIN enabled: false
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : FORBIDDEN enabled: false
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : RECOMMENDED enabled: true
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : PreCheck DRC enabled: false
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:19 +0200: Memory Usage (457920K) : Read in polygons from layers.
2026-09-09 20:59:19 +0200: Memory Usage (459072K) : activ_drw has 6 polygons
2026-09-09 20:59:19 +0200: Memory Usage (459072K) : activ_pin has 0 polygons
2026-09-09 20:59:19 +0200: Memory Usage (459072K) : activ_mask has 0 polygons
2026-09-09 20:59:19 +0200: Memory Usage (459072K) : activ_filler has 0 polygons
2026-09-09 20:59:19 +0200: Memory Usage (459072K) : activ_nofill has 0 polygons
