# Logfile created on 2026-09-09 20:59:07 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:07 +0200: Memory Usage (456408K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/AION_a21oi_nor2_1.gds
2026-09-09 20:59:07 +0200: Memory Usage (456408K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : Loading database to memory is complete.
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/drc/AION_a21oi_nor2_1.klayout.drc/AION_a21oi_nor2_1_AION_a21oi_nor2_1_pwellblock.lyrdb
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : Evaluate switches.
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : tables selected: pwellblock
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : deep mode is enabled.
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : FEOL enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : BEOL enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : OFFGRID enabled: true
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : ANGLE enabled: true
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : PIN enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : FORBIDDEN enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : RECOMMENDED enabled: true
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : PreCheck DRC enabled: false
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:07 +0200: Memory Usage (457336K) : Read in polygons from layers.
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_drw has 5 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_pin has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_mask has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_filler has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_nofill has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_opc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_iopc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : activ_noqrc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : biwind_drw has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : biwind_opc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : pemwind_drw has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_drw has 10 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_nofill has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_opc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_iopc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458472K) : cont_drw has 40 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458632K) : cont_opc has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458632K) : nsd_drw has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458632K) : nsd_block has 0 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458632K) : metal1_drw has 23 polygons
2026-09-09 20:59:07 +0200: Memory Usage (458632K) : metal1_pin has 7 polygons
