# Logfile created on 2026-09-09 20:59:09 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:09 +0200: Memory Usage (457688K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/AION_a21oi_nor2_1.gds
2026-09-09 20:59:09 +0200: Memory Usage (457688K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : Loading database to memory is complete.
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/drc/AION_a21oi_nor2_1.klayout.drc/AION_a21oi_nor2_1_AION_a21oi_nor2_1_topmetal1.lyrdb
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : Evaluate switches.
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : tables selected: topmetal1
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : deep mode is enabled.
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : FEOL enabled: false
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : BEOL enabled: false
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : OFFGRID enabled: true
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : ANGLE enabled: true
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : PIN enabled: false
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : FORBIDDEN enabled: false
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : RECOMMENDED enabled: true
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : PreCheck DRC enabled: false
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:09 +0200: Memory Usage (458676K) : Read in polygons from layers.
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_drw has 5 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_pin has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_mask has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_filler has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_nofill has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_opc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_iopc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : activ_noqrc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : biwind_drw has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : biwind_opc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : pemwind_drw has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_drw has 10 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_pin has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_filler has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_nofill has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_opc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_iopc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459444K) : cont_drw has 40 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : cont_opc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : nsd_drw has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : nsd_block has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : metal1_drw has 23 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : metal1_pin has 7 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : metal1_mask has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459604K) : metal1_filler has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459764K) : metal1_nofill has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459764K) : metal1_slit has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (459956K) : metal1_text has 7 polygons
2026-09-09 20:59:09 +0200: Memory Usage (460116K) : metal1_opc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (460116K) : metal1_noqrc has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (460116K) : metal1_res has 0 polygons
2026-09-09 20:59:09 +0200: Memory Usage (460276K) : metal1_iprobe has 0 polygons
