# Logfile created on 2026-09-09 20:57:41 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:41 +0200: Memory Usage (456896K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:41 +0200: Memory Usage (456896K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:41 +0200: Memory Usage (458016K) : Loading database to memory is complete.
2026-09-09 20:57:41 +0200: Memory Usage (458016K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_metalslits.lyrdb
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : Evaluate switches.
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : tables selected: metalslits
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : deep mode is enabled.
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : FEOL enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : BEOL enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : OFFGRID enabled: true
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : ANGLE enabled: true
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : PIN enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : FORBIDDEN enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : RECOMMENDED enabled: true
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : PreCheck DRC enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:41 +0200: Memory Usage (458208K) : Read in polygons from layers.
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_drw has 6 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_pin has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_mask has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_filler has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_nofill has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_iopc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : activ_noqrc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : biwind_drw has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : biwind_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : pemwind_drw has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : gatpoly_drw has 5 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (458976K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : cont_drw has 51 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : cont_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : nsd_drw has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459136K) : nsd_block has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459328K) : metal1_drw has 11 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459328K) : metal1_pin has 7 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459488K) : metal1_mask has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459488K) : metal1_filler has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459488K) : metal1_nofill has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459648K) : metal1_slit has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459840K) : metal1_text has 7 polygons
2026-09-09 20:57:41 +0200: Memory Usage (459840K) : metal1_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460000K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460000K) : metal1_res has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460000K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460160K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460160K) : passiv_drw has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460320K) : passiv_pin has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460320K) : passiv_sbump has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460320K) : passiv_pillar has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460320K) : passiv_pdl has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460320K) : metal2_drw has 1 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460480K) : metal2_pin has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460480K) : metal2_mask has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460480K) : metal2_filler has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (460480K) : metal2_nofill has 0 polygons
