# Logfile created on 2026-09-09 20:57:41 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:41 +0200: Memory Usage (453596K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:41 +0200: Memory Usage (453596K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : Loading database to memory is complete.
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_offgrid.lyrdb
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : Evaluate switches.
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : tables selected: offgrid
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : deep mode is enabled.
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : FEOL enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : BEOL enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : OFFGRID enabled: true
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : ANGLE enabled: true
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : PIN enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : FORBIDDEN enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : RECOMMENDED enabled: true
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : PreCheck DRC enabled: false
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:41 +0200: Memory Usage (454980K) : Read in polygons from layers.
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_drw has 6 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_pin has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_mask has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_filler has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_nofill has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_iopc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : activ_noqrc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : biwind_drw has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : biwind_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455764K) : pemwind_drw has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455956K) : gatpoly_drw has 5 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455956K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455956K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455956K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455956K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:41 +0200: Memory Usage (455956K) : gatpoly_iopc has 0 polygons
