# Logfile created on 2026-09-09 20:57:35 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:35 +0200: Memory Usage (457100K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:35 +0200: Memory Usage (457100K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : Loading database to memory is complete.
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_psd.lyrdb
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : Evaluate switches.
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : tables selected: psd
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : deep mode is enabled.
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : FEOL enabled: false
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : BEOL enabled: false
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : OFFGRID enabled: true
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : ANGLE enabled: true
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : PIN enabled: false
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : FORBIDDEN enabled: false
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : RECOMMENDED enabled: true
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : PreCheck DRC enabled: false
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:35 +0200: Memory Usage (458460K) : Read in polygons from layers.
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_drw has 6 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_pin has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_mask has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_filler has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_nofill has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_opc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_iopc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : activ_noqrc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : biwind_drw has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : biwind_opc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : pemwind_drw has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : gatpoly_drw has 5 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459420K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : cont_drw has 51 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : cont_opc has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : nsd_drw has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459580K) : nsd_block has 0 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459964K) : metal1_drw has 11 polygons
2026-09-09 20:57:35 +0200: Memory Usage (459964K) : metal1_pin has 7 polygons
2026-09-09 20:57:35 +0200: Memory Usage (460124K) : metal1_mask has 0 polygons
