# Logfile created on 2026-09-09 20:57:36 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:36 +0200: Memory Usage (457388K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/reference_AION_nand2_o21ai_0.gds
2026-09-09 20:57:36 +0200: Memory Usage (457388K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:36 +0200: Memory Usage (458540K) : Loading database to memory is complete.
2026-09-09 20:57:36 +0200: Memory Usage (458540K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/baseline/drc/reference_AION_nand2_o21ai_0.klayout.drc/reference_AION_nand2_o21ai_0_reference_AION_nand2_o21ai_0_thickgateox.lyrdb
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : Evaluate switches.
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : tables selected: thickgateox
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : deep mode is enabled.
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : FEOL enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : BEOL enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : OFFGRID enabled: true
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : ANGLE enabled: true
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : PIN enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : FORBIDDEN enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : RECOMMENDED enabled: true
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : PreCheck DRC enabled: false
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:36 +0200: Memory Usage (458732K) : Read in polygons from layers.
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_drw has 6 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_iopc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : activ_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : biwind_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : biwind_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459500K) : pemwind_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_drw has 5 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459692K) : cont_drw has 51 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459852K) : cont_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459852K) : nsd_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (459852K) : nsd_block has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460044K) : metal1_drw has 11 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460044K) : metal1_pin has 7 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460044K) : metal1_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460044K) : metal1_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460204K) : metal1_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460204K) : metal1_slit has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460396K) : metal1_text has 7 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460556K) : metal1_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460556K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460716K) : metal1_res has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460716K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460716K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460876K) : passiv_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460876K) : passiv_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (460876K) : passiv_sbump has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : passiv_pillar has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : passiv_pdl has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_drw has 1 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_slit has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_text has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461036K) : metal2_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461196K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461196K) : metal2_res has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461196K) : metal2_iprobe has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461356K) : metal2_diffprb has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461356K) : baspoly_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461356K) : baspoly_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461356K) : psd_drw has 2 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461516K) : nldb_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461516K) : digibnd_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461516K) : via1_drw has 2 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461676K) : backmetal1_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461676K) : backmetal1_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461676K) : backmetal1_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461836K) : backmetal1_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461836K) : backmetal1_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461836K) : backmetal1_slit has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461996K) : backmetal1_text has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (461996K) : backmetal1_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462156K) : backmetal1_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462156K) : backmetal1_res has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462316K) : backmetal1_iprobe has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462316K) : backmetal1_diffprb has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462476K) : backpassiv_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462476K) : res_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462476K) : sram_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462636K) : trans_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462636K) : ind_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462636K) : ind_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462796K) : ind_text has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462796K) : salblock_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462796K) : via2_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462956K) : metal3_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462956K) : metal3_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (462956K) : metal3_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463116K) : metal3_filler has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463116K) : metal3_nofill has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463116K) : metal3_slit has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463276K) : metal3_text has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463276K) : metal3_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463436K) : metal3_noqrc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463436K) : metal3_res has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463436K) : metal3_iprobe has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463436K) : metal3_diffprb has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463596K) : nwell_drw has 1 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463596K) : nwell_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463596K) : nbulay_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463596K) : nbulay_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463756K) : nbulay_block has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463756K) : emwind_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463756K) : emwind_opc has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463756K) : deepco_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463916K) : deepco_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463916K) : mim_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463916K) : edgeseal_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463916K) : edgeseal_bound has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (463916K) : substrate_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464076K) : substrate_text has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464076K) : dfpad_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464076K) : dfpad_pillar has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464236K) : dfpad_sbump has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464236K) : thickgateox_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464236K) : pldb_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464396K) : pwell_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464396K) : pwell_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464396K) : pwell_block has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464556K) : ic_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464556K) : via3_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464556K) : metal4_drw has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464716K) : metal4_pin has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464716K) : metal4_mask has 0 polygons
2026-09-09 20:57:36 +0200: Memory Usage (464716K) : metal4_filler has 0 polygons
