# Logfile created on 2026-09-09 20:57:27 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:27 +0200: Memory Usage (457276K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:27 +0200: Memory Usage (457276K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : Loading database to memory is complete.
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_activ.lyrdb
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : Evaluate switches.
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : tables selected: activ
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : deep mode is enabled.
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : FEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : BEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : OFFGRID enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : ANGLE enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : PIN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : FORBIDDEN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : RECOMMENDED enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : PreCheck DRC enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:27 +0200: Memory Usage (458632K) : Read in polygons from layers.
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_drw has 5 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : activ_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : biwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : biwind_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : pemwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459592K) : cont_drw has 41 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459752K) : cont_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459752K) : nsd_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459752K) : nsd_block has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459752K) : metal1_drw has 23 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459752K) : metal1_pin has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459752K) : metal1_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459912K) : metal1_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459912K) : metal1_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459912K) : metal1_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460264K) : metal1_text has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460264K) : metal1_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460264K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460424K) : metal1_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460424K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460424K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460584K) : passiv_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460584K) : passiv_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460584K) : passiv_sbump has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : passiv_pillar has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : passiv_pdl has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_drw has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_pin has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_text has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460744K) : metal2_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : metal2_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : metal2_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : metal2_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : baspoly_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : baspoly_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461064K) : psd_drw has 2 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461224K) : nldb_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461224K) : digibnd_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461224K) : via1_drw has 2 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461384K) : backmetal1_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461384K) : backmetal1_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461384K) : backmetal1_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461544K) : backmetal1_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461544K) : backmetal1_nofill has 0 polygons
