# Logfile created on 2026-09-09 20:57:27 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:27 +0200: Memory Usage (456452K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:27 +0200: Memory Usage (456452K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : Loading database to memory is complete.
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_activfiller.lyrdb
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : Evaluate switches.
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : tables selected: activfiller
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : deep mode is enabled.
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : FEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : BEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : OFFGRID enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : ANGLE enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : PIN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : FORBIDDEN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : RECOMMENDED enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : PreCheck DRC enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:27 +0200: Memory Usage (457380K) : Read in polygons from layers.
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_drw has 5 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : activ_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : biwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : biwind_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : pemwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458520K) : cont_drw has 41 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : cont_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : nsd_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : nsd_block has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : metal1_drw has 23 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : metal1_pin has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : metal1_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458680K) : metal1_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458840K) : metal1_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458840K) : metal1_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459224K) : metal1_text has 6 polygons
