# Logfile created on 2026-09-09 20:57:26 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:26 +0200: Memory Usage (454676K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:26 +0200: Memory Usage (454676K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : Loading database to memory is complete.
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_contbar.lyrdb
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : Evaluate switches.
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : tables selected: contbar
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : deep mode is enabled.
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : FEOL enabled: false
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : BEOL enabled: false
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : OFFGRID enabled: true
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : ANGLE enabled: true
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : PIN enabled: false
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : FORBIDDEN enabled: false
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : RECOMMENDED enabled: true
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : PreCheck DRC enabled: false
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:26 +0200: Memory Usage (455636K) : Read in polygons from layers.
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_drw has 5 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_pin has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_mask has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_filler has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_nofill has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_iopc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : activ_noqrc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : biwind_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : biwind_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : pemwind_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456776K) : cont_drw has 41 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456936K) : cont_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456936K) : nsd_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456936K) : nsd_block has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456936K) : metal1_drw has 23 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456936K) : metal1_pin has 6 polygons
2026-09-09 20:57:26 +0200: Memory Usage (456936K) : metal1_mask has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457096K) : metal1_filler has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457096K) : metal1_nofill has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457096K) : metal1_slit has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457640K) : metal1_text has 6 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457640K) : metal1_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457640K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457800K) : metal1_res has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457800K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457800K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457960K) : passiv_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457960K) : passiv_pin has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (457960K) : passiv_sbump has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : passiv_pillar has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : passiv_pdl has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_drw has 1 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_pin has 1 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_mask has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_filler has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_nofill has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_slit has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_text has 1 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458120K) : metal2_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : metal2_res has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : metal2_iprobe has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : metal2_diffprb has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : baspoly_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : baspoly_pin has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458440K) : psd_drw has 2 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458600K) : nldb_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458600K) : digibnd_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458760K) : via1_drw has 2 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458760K) : backmetal1_drw has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458760K) : backmetal1_pin has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458920K) : backmetal1_mask has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458920K) : backmetal1_filler has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (458920K) : backmetal1_nofill has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (459080K) : backmetal1_slit has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (459080K) : backmetal1_text has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (459080K) : backmetal1_opc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (459240K) : backmetal1_noqrc has 0 polygons
2026-09-09 20:57:26 +0200: Memory Usage (459240K) : backmetal1_res has 0 polygons
