# Logfile created on 2026-09-09 20:57:27 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:27 +0200: Memory Usage (457440K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:27 +0200: Memory Usage (457440K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:27 +0200: Memory Usage (458428K) : Loading database to memory is complete.
2026-09-09 20:57:27 +0200: Memory Usage (458428K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_gatpoly.lyrdb
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : Evaluate switches.
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : tables selected: gatpoly
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : deep mode is enabled.
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : FEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : BEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : OFFGRID enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : ANGLE enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : PIN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : FORBIDDEN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : RECOMMENDED enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : PreCheck DRC enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:27 +0200: Memory Usage (458620K) : Read in polygons from layers.
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_drw has 5 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : activ_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : biwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : biwind_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : pemwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459388K) : cont_drw has 41 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459548K) : cont_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459548K) : nsd_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459548K) : nsd_block has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459548K) : metal1_drw has 23 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459548K) : metal1_pin has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459548K) : metal1_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459708K) : metal1_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459708K) : metal1_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459708K) : metal1_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460060K) : metal1_text has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460060K) : metal1_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460060K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460220K) : metal1_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460220K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460220K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460380K) : passiv_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460380K) : passiv_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460380K) : passiv_sbump has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : passiv_pillar has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : passiv_pdl has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_drw has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_pin has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_text has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460540K) : metal2_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : metal2_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : metal2_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : metal2_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : baspoly_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : baspoly_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460860K) : psd_drw has 2 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461020K) : nldb_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461020K) : digibnd_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461020K) : via1_drw has 2 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461180K) : backmetal1_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461180K) : backmetal1_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461180K) : backmetal1_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461340K) : backmetal1_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461340K) : backmetal1_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461340K) : backmetal1_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461500K) : backmetal1_text has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461500K) : backmetal1_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461500K) : backmetal1_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461660K) : backmetal1_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461820K) : backmetal1_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461820K) : backmetal1_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461980K) : backpassiv_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461980K) : res_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (461980K) : sram_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462140K) : trans_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462140K) : ind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462140K) : ind_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462300K) : ind_text has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462300K) : salblock_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462300K) : via2_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462460K) : metal3_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462460K) : metal3_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462460K) : metal3_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462620K) : metal3_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462620K) : metal3_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462620K) : metal3_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462780K) : metal3_text has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462780K) : metal3_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462940K) : metal3_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (462940K) : metal3_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463100K) : metal3_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463100K) : metal3_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463100K) : nwell_drw has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463100K) : nwell_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463100K) : nbulay_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463260K) : nbulay_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463260K) : nbulay_block has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463260K) : emwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463260K) : emwind_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463420K) : deepco_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463420K) : deepco_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463420K) : mim_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463420K) : edgeseal_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463580K) : edgeseal_bound has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463580K) : substrate_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463580K) : substrate_text has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463580K) : dfpad_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463740K) : dfpad_pillar has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463740K) : dfpad_sbump has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463740K) : thickgateox_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463900K) : pldb_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463900K) : pwell_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (463900K) : pwell_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464060K) : pwell_block has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464060K) : ic_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464060K) : via3_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464220K) : metal4_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464220K) : metal4_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464220K) : metal4_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464380K) : metal4_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464380K) : metal4_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464380K) : metal4_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464540K) : metal4_text has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464540K) : metal4_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464540K) : metal4_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (464700K) : metal4_res has 0 polygons
