# Logfile created on 2026-09-09 20:57:27 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:27 +0200: Memory Usage (457096K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:27 +0200: Memory Usage (457096K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:27 +0200: Memory Usage (458024K) : Loading database to memory is complete.
2026-09-09 20:57:27 +0200: Memory Usage (458024K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_gatpolyfiller.lyrdb
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : Evaluate switches.
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : tables selected: gatpolyfiller
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : deep mode is enabled.
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : FEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : BEOL enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : OFFGRID enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : ANGLE enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : PIN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : FORBIDDEN enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : RECOMMENDED enabled: true
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : PreCheck DRC enabled: false
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:27 +0200: Memory Usage (458216K) : Read in polygons from layers.
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_drw has 5 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : activ_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : biwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : biwind_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : pemwind_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (458984K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : cont_drw has 41 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : cont_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : nsd_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : nsd_block has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : metal1_drw has 23 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459144K) : metal1_pin has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459304K) : metal1_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459304K) : metal1_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459304K) : metal1_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459464K) : metal1_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459656K) : metal1_text has 6 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459656K) : metal1_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459816K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459816K) : metal1_res has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459816K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459976K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (459976K) : passiv_drw has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460136K) : passiv_pin has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460136K) : passiv_sbump has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460136K) : passiv_pillar has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460136K) : passiv_pdl has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460136K) : metal2_drw has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_pin has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_mask has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_filler has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_nofill has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_slit has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_text has 1 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460296K) : metal2_opc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460456K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:27 +0200: Memory Usage (460456K) : metal2_res has 0 polygons
