# Logfile created on 2026-09-09 20:57:28 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:28 +0200: Memory Usage (455104K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:28 +0200: Memory Usage (455104K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : Loading database to memory is complete.
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_metal1.lyrdb
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : Evaluate switches.
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : tables selected: metal1
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : deep mode is enabled.
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : FEOL enabled: false
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : BEOL enabled: false
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : OFFGRID enabled: true
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : ANGLE enabled: true
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : PIN enabled: false
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : FORBIDDEN enabled: false
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : RECOMMENDED enabled: true
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : PreCheck DRC enabled: false
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:28 +0200: Memory Usage (456064K) : Read in polygons from layers.
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_drw has 5 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_pin has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_mask has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_filler has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_nofill has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_opc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_iopc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : activ_noqrc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : biwind_drw has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : biwind_opc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : pemwind_drw has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457200K) : cont_drw has 41 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457360K) : cont_opc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457360K) : nsd_drw has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457360K) : nsd_block has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457360K) : metal1_drw has 23 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457360K) : metal1_pin has 6 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457360K) : metal1_mask has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457520K) : metal1_filler has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457520K) : metal1_nofill has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457520K) : metal1_slit has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457872K) : metal1_text has 6 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457872K) : metal1_opc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (457872K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458032K) : metal1_res has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458032K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458032K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458192K) : passiv_drw has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458192K) : passiv_pin has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458192K) : passiv_sbump has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : passiv_pillar has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : passiv_pdl has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_drw has 1 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_pin has 1 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_mask has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_filler has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_nofill has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_slit has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_text has 1 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458352K) : metal2_opc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458672K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458672K) : metal2_res has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458672K) : metal2_iprobe has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458672K) : metal2_diffprb has 0 polygons
2026-09-09 20:57:28 +0200: Memory Usage (458672K) : baspoly_drw has 0 polygons
