# Logfile created on 2026-09-09 20:57:30 +0200 by logger.rb/v1.5.3
2026-09-09 20:57:30 +0200: Memory Usage (456900K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/AION_nand2_o21ai_0.gds
2026-09-09 20:57:30 +0200: Memory Usage (456900K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : Loading database to memory is complete.
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_nand2_o21ai_0/drc/AION_nand2_o21ai_0.klayout.drc/AION_nand2_o21ai_0_AION_nand2_o21ai_0_mim.lyrdb
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : Evaluate switches.
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : tables selected: mim
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : deep mode is enabled.
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : FEOL enabled: false
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : BEOL enabled: false
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : OFFGRID enabled: true
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : ANGLE enabled: true
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : PIN enabled: false
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : FORBIDDEN enabled: false
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : RECOMMENDED enabled: true
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : PreCheck DRC enabled: false
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:57:30 +0200: Memory Usage (457888K) : Read in polygons from layers.
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_drw has 5 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_pin has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_mask has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_filler has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_nofill has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_opc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_iopc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : activ_noqrc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : biwind_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : biwind_opc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : pemwind_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_drw has 10 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_pin has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_filler has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_nofill has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_opc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_iopc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : gatpoly_noqrc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459020K) : cont_drw has 41 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459180K) : cont_opc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459180K) : nsd_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459180K) : nsd_block has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459180K) : metal1_drw has 23 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459180K) : metal1_pin has 6 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459340K) : metal1_mask has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459340K) : metal1_filler has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459340K) : metal1_nofill has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459500K) : metal1_slit has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459692K) : metal1_text has 6 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459692K) : metal1_opc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459852K) : metal1_noqrc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459852K) : metal1_res has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (459852K) : metal1_iprobe has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460012K) : metal1_diffprb has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460012K) : passiv_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460012K) : passiv_pin has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460172K) : passiv_sbump has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460172K) : passiv_pillar has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460172K) : passiv_pdl has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460172K) : metal2_drw has 1 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_pin has 1 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_mask has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_filler has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_nofill has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_slit has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_text has 1 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460332K) : metal2_opc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460492K) : metal2_noqrc has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460492K) : metal2_res has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460492K) : metal2_iprobe has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460492K) : metal2_diffprb has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460492K) : baspoly_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460492K) : baspoly_pin has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460652K) : psd_drw has 2 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460652K) : nldb_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460652K) : digibnd_drw has 0 polygons
2026-09-09 20:57:30 +0200: Memory Usage (460812K) : via1_drw has 2 polygons
